CSFId,CSF
28381,02
28382,03
28383,Red 33 Red 40 - Apple
28384,Blue 1 Yellow 5 - Watermelon
28385,Pewter Base
28386,Pink Highlight
28388,I'm with the Band
28389,"Blue 1, Yellow 5 - Watermelon"
28390,"Red 33, Red 40 - Apple"
28391,Coconut
28392,Liner Shadow
28393,Pink Champagne
28394,Sheer Watermelon
28395,Soft Coral
28397,Eyeshadows
28398,Eyepencil
28399,Lipgloss
28400,01 glossy pink
28401,twinkle gold
28402,twinkle brown
28403,twinkle pearl
28404,01 Grapefruit
28405,02 Strawberry
28406,03 Orange
28407,04 Pineapple
28408,dancing
28409,Playing
28410,singing
28411,Smiling
28412,Skipping
28413,Plum
28414,Blush
28415,nude
28416,Cool Vanilla
28417,13463-67-7
28418,13463-67-7
28419,02 SILVER
28420,05 GREEN
28421,06 OLIVE
28422,15 SLATE
28423,18 GLITTER GREEN
28424,21 MATT DEEP PLUM
28425,04 Statement piece
28426,05 Get noticed
28427,06 Decked out
28428,08 Swagger
28429,09 Big night
28430,Moyen / Medium
28431,Clair Ivoire / Light Ivory
28432,FAIR
28433,Eyeshadows
28434,Blush
28435,Bronzing powder
28436,Saumon / Salmon-pink
28437,Rose clair / Light-pink
28438,Nude
28439,Fair
28440,Medium
28441,Bohemian
28442,Sky High
28443,Sea
28444,Chainmail
28445,Pretty Pink
28446,Bronze
28447,Nude
28448,Iridescent Purple
28449,Pewter Shine
28450,Pale Green
28451,Chocolate Fondant
28452,Night Shadows
28453,Purple haze
28454,Green Glades
28455,Red 40
28456,Red 33
28457,Yellow 5
28458,Yellow 6
28459,Blue 1
28460,Blossom
28461,Clover
28462,Romantic
28463,Pink Blush
28464,Maple Silk
28465,Medium
28466,Dark
28467,Extra Fair
28468,Fair
28469,Peach
28470,Pink
28471,Angel Cake
28472,Sweet Peaches
28473,Marshmallow
28474,Sherbert Twist
28475,Caramel
28476,Summer Pudding
28477,Party Pink
28478,Carmine
28479,Whisper
28480,Lust
28481,Coral Kiss
28482,Glaze
28483,Bare
28484,Smooth Shiraz
28485,Cinnamon Swirl
28486,Pink Angel
28487,Chinchilla
28488,Raspberry
28489,Soft Damson
28490,Honey
28491,Cool Pink
28492,Cool Pink
28493,Coral Flush
28494,Cranberry
28495,Blush
28496,Rose Blush
28497,Shiny Conker
28498,Romantic
28499,Sugar Plum
28500,Bare
28501,Plum Beautiful
28502,Glam
28503,Wine
28504,Rumour
28505,Raisin Shimmer
28506,Pink Lemonade
28507,Coral Rose
28508,1
28509,11
28510,111
28511,Ebony
28512,Cool Vanilla
28513,Cool Ivory
28514,Cool Beige
28515,Deeply Beige
28516,Deeply Honey
28517,Mocha
28518,Wheat
28519,Calico
28520,Cool Vanilla
28521,Cool Ivory
28522,Cool Beige
28523,ebony
28524,Mocha
28525,Calico
28526,Deeply Beige
28527,Wheat
28528,Cool Vanilla
28529,Cool Ivory
28530,Cool Beige
28531,Deeply Beige
28532,wheat
28533,Mocha
28541,Light
28542,medium
28543,Moonlight Shadows
28544,Royal
28545,Forest Green
28546,Night Out
28547,FD&C  - Blue - 1
28548,FD&C Blue 1
28549,FD&C Blue 1
28550,FD&C Red 40 AL LAKE
28551,Yellow 5 LAKE
28552,001 Eclat Naturel / Natural Radiance
28553,002 Eclat Dor� / Golden Radiance
28554,548
28555,500 Blush
28556,501 Casual Pink
28557,502 Artdeco
28558,503 Red Fushia
28559,504 Ecstasy
28560,300 Flesh
28561,401 Tibetan Orange
28562,402 Chinese Lacquer
28563,400 The Red
28564,200 Terra
28565,201 Dark Velvet
28566,202 Dolci
28567,2
28568,4
28569,2.5
28570,3
28571,4.5
28572,5
28573,2
28574,4
28575,5.5
28576,3
28577,4.5
28578,5
28579,6.5
28580,7
28581,8
28582,10
28583,11.5
28584,12
28585,continuous creme
28586,forever noir
28587,timeless taupe
28588,extreme espresso
28589,perpetual pink
28590,everlasting rose
28591,always fuschia
28592,vibrant violet
28593,endless purple
28594,magnetic teal
28595,enduring vert
28596,absolute jade
28597,electrifying sparkle
28598,unlimited silver
28599,eternal gold
28600,light
28601,medium
28602,"D&C Red No 21, D&C Red No 7 - Cherry"
28603,"D&C Red No 27, FD&C Blue No 1 - Raspberry"
28604,"D&C Red No 21, D&C Red No 7 - Strawberry"
28605,FD&C No 5 - Chocolate
28606,glam black
28607,Intensity I
28608,Intensity II
28609,Intensity III
28610,Intensity IV
28611,Glam Black
28612,58F
28613,02
28614,Coconut
28615,D&C Rec No 33 - Strawberry
28616,Blue 1
28617,Red 33
28618,Yellow 5
28619,Yellow 6
28620,Blue 1
28621,Red 33
28622,Sweet Pea
28623,Red 40
28624,Red 33
28625,Apple
28626,FD&C Red 33
28627,FD&C Red 40
28628,Berry
28629,FD&C Orange 7
28630,Nectarine
28631,Coconut
28632,FD&C Yellow 5
28633,FD&C Blue 1
28634,Apple
28635,CI 77891
28636,Titanium Dioxide
28637,"Fair, Medium, Tan - none - none"
28638,"All Clear, Almost Clear, Perfectly Clear, All Clear Shimmer, Almost Clear Shimmer, Perfectly Clear Shimmer"
28639,"All Clear, Almost Clear, Perfectly Clear, All Clear Shimmer, Almost Clear Shimmer, Perfectly Clear Shimmer"
28640,"Fair, Medium, Tan"
28641,"a taste of honey,all dolled up,all even,california girl,girl from ipanema,in the dark,light as a feather,my fair lady"
28642,"not too deep,pass the butter,perfekt,second skin,that touch of mink,toast of the town"
28643,Ocean Mist scent
28644,Lemon Splash Scent
28645,Tropical Breeze scent
28646,Very Berry Scent
28647,22
28648,23
28649,41Y
28650,51
28651,52
28652,52Y
28653,22
28654,23
28655,41
28656,41Y
28657,44
28658,51
28659,52
28660,52Y
28661,22
28662,23
28663,41
28664,41Y
28665,44
28666,51
28667,52
28668,52Y
28669,22
28670,41Y
28671,44
28672,51
28673,52
28674,52Y
28675,light yellow - none  - none
28676,M04G
28677,82F
28678,40F
28679,03G
28680,01F
28681,Natural
28682,22
28683,23
28684,41
28685,41Y
28686,44
28687,51
28688,52
28689,52Y
28690,14
28691,17
28692,22
28693,23
28694,41
28695,41Y
28696,44
28697,51
28698,52
28699,52Y
28700,Bright
28701,02F
28702,01F
28703,M05G
28704,N
28705,O
28706,41
28707,23
28708,140F
28709,120F
28710,56
28711,54F
28712,52
28713,44F
28714,35
28715,34F
28716,24F
28717,16
28718,Light
28719,dark
28720,dark
28721,PINK - ROSE
28722,PURPLE - ROSE
28723,DARK RED - ROSE
28724,YELLOW - ROSE
28725,PURPLE - ROSE
28726,RED - ROSE
28727,RED - ROSE
28728,yellow - vanlla frosting - vanilla frosting
28729,red -  pomegranate - pomegranate
28730,red - pomegranate - pomegrante
28731,FAIR
28732,Light
28733,Medium
28734,Medium / Tan
28735,Tan
28736,Deep
28737,Dark
28738,Cutie Pie
28739,Sweetie Pie
28740,YELLOW - VANILLA FROSTING  - VANILLA FROSTING
28741,Ultra brillance / ultra shine N�11 PIN UP
28742,OUTRAGEOUS VOLUME / DRAMATIC VOLUME MASCARA  02 Ultra-black
28743,Cr�me l�g�re hydratante / Instant moisturizer
28744,BRUME AUTOBRONZANTE TEINT�E CORPS / TINTED SELF-TANNING BODY MIST
28745,40C
28746,22
28747,23
28748,41
28749,41Y
28750,44
28751,51
28752,52
28753,52Y
28754,52
28755,52Y
28756,51
28757,44
28758,41Y
28759,41
28760,23
28761,22
28762,20
28763,40
28764,50
28765,"D&C Red No 33, - Apple Pomegranate"
28766,FD&C Yellow No 5 - Vanilla Sugar
28767,D&C Red No 33 - Cherry Blossom
28768,L01. Get What U Want
28769,L02. Under the covers
28770,L03. Sugar coated
28771,L05. Undress me now
28772,L07. Satin corset
28773,L08. Nude shot
28774,10. Never Say No
28775,L12. Welcome to my loft
28776,L13. Tiramisu
28777,L15. Gipsy
28778,L17. Go for Bad Boys
28779,L19. 1st night
28780,L20. Have U ever
28781,21. In bed with
28782,L22. Sweet candy
28783,L24. Drive Men Wild
28784,L25. Speed Dating
28785,26. Manizer
28786,L28. Dinner for 2
28787,L30. Valentine
28788,L31. Pink paradise
28789,L32. Hot in Here
28790,L33. High Speed
28791,L34. samba in rio
28792,L37. Hot & spicy
28793,L39. Trick or Treat
28794,L40. Date a prince
28795,L41. Cherry popsicle
28796,L43. it-girl
28797,L44. Resist to temptation
28798,L45. Red Excess
28799,48. Get revenge
28800,L49. Red berries smoothie
28801,L52. Vodoo Doll
28802,53. Dirty Groove
28803,L54. Psychedelic
28804,L55. Catch me
28805,L56. Jacuzzi
28806,L58. Will You Jump?
28807,L59. Shark Attack
28808,L60. Cura�ao
28809,62. Full Moon Party
28810,L66. Green revolution
28811,L67. Green tea time
28812,L68. Picnic in the park
28813,L69. Jungle Queen
28814,70. Flash Me!
28815,L71. Banana split
28816,72. Girls night out
28817,75. Blackjack
28818,L76. Black lace
28819,L78. Berlin underground
28821,BLACK 2 (CI 77266)
28822,Blacquer
28823,Blacquer
28824,Blacquer
28827,Lemon
28828,Sugar Powder
28829,SUN DISK EDITION LIMITEE / SUN DISK LIMITED EDITION
28830,carefree
28831,captivating
28832,Fantastic
28833,Magic
28834,Buff
28835,Adored
28836,Frisky
28837,Orgasm
28838,fair honey
28839,light beige
28840,medium honey
28841,tan sand
28842,Fair
28843,Light
28844,Medium
28845,Tan
28846,Deep
28847,Champagne
28848,Taupe
28849,Brown
28850,Rich Brown
28851,Dollface
28852,exposed
28853,free
28854,03
28855,57F
28856,58
28857,tribal
28858,tame
28859,rare
28860,rope
28861,canopy
28862,Hammock
28863,bikini
28864,barefoot
28865,sun deck
28866,poolside
28867,parasol
28868,golden getaway
28869,sandy grey
28870,paradise pink
28871,lilac mist
28872,cocoa cabana
28873,tropical suntan
28874,Bahama Bronze
28875,Tahitian Sand
28876,Brazilian Cocoa Bean
28877,Curacao Copper
28878,Curacao Copper
28879,Gilded Sand
28880,Taupe Dusk
28881,Exotic Guava
28882,Twilight Plum
28883,Brazil Nut Brown
28884,Wild Orchard
28885,Almond
28886,Amber
28887,Angel Food
28888,Apple Blossom
28889,Apple Pie
28890,Baby Powder
28891,Bamboo
28892,Banana Flambee
28893,Barbados Cherry
28894,Basil
28895,Beeswax
28896,Beetroot
28897,Between the Sheets
28898,Bird of Paradise
28899,Bird of Paradise
28900,Birthday Cake
28901,Black Bamboo
28902,Black Ginger
28903,Black Pepper
28904,Black Russian
28905,Blueberry
28906,Bourbon
28907,Brownie
28908,Bubble Gum
28909,Bulgarian Rose
28910,Butterscotch
28911,Cannabis Flower
28912,Caramel
28913,Celery
28914,Chai Tea
28915,Camomile Tea
28916,Champagne Brut
28917,Cherry Blossom
28918,Chocolate Chip Cookes
28919,Chocolate Covered Cherries
28920,Chocolate Mint
28921,Christmas Bouquet
28922,Christmas in NY
28923,Christmas Tree
28924,Chrysanthemum
28925,Cinnamon Bark
28926,Cinnamon Bun
28927,Cinnamon Toast
28928,Clean Skin
28929,Clean Windows
28930,Clover
28931,Clover
28932,Coconut
28933,Coriander Tea
28934,Condensed Milk
28935,Cosmopolitan Cocktail
28936,Cotton Candy
28937,Cranberry
28938,Crayon
28939,Creme Br�l�e
28940,Croquembouche
28941,Cucumber
28942,Cypress
28943,Daisy
28944,Daphne
28945,Devil's Food
28946,Dandelion
28947,Dandelion
28948,Dirt
28949,Dragon Fruit
28950,Dregs
28951,Dust
28952,Dulce de Leche
28953,Earl Grey Tea
28954,Earthworm
28955,Egg Nog
28956,Espresso
28957,Fiery Curry
28958,Fig Leaf
28959,Firefly
28960,Fireplace
28961,Flower Show
28962,Frangipani
28963,Fraser Fir
28964,Freesia
28965,Fresh Ginger
28966,Fresh Hay
28967,Frozen Margarita
28968,Frozen Pond
28969,Funeral Home
28970,Fuzzy Navel
28971,Gardenia
28972,Geranium
28973,Giant Sequoia
28974,Gin & Tonic
28975,Ginger Cookie
28976,Gingerale
28977,Gingerbread
28978,Ginseng Root
28979,Glue
28980,Golden Delicious
28981,Graham Cracker
28982,Grape Leaf
28983,Grapefruit Tea
28984,Grass
28985,Green Tomato
28986,Green Tea
28987,Greenhouse
28988,Hawaiian Vanilla
28989,Heather
28990,Heliotrope
28991,Hibiscus Tea
28992,Holy Smoke
28993,Holy Water
28994,Honey
28995,Honeydew Melon
28996,Honesuckle
28997,Hot Toddy
28998,Humidor
28999,Incense
29000,Iris
29001,Ivy
29002,Jasmine
29003,Kamikaze
29004,Laundromat
29005,Lava Rock
29006,Lavender
29007,Lavender Martini
29008,Licorice
29009,Lilac
29010,Lily of the Valley
29011,Lime
29012,Linden
29013,Lobster
29014,Lychee
29015,Macadamia Nut
29016,Madeleine
29017,Magnolia
29018,Mahogany
29019,Malaga Cooler
29020,Mango
29021,Maple Syrup
29022,Marshmallow
29023,Martini
29024,Mesquite
29025,Meyer Lemon
29026,Mildew
29027,Mint Julep
29028,Mistletoe
29029,Mojito
29030,Moonbeam
29031,Mulled Cider
29032,Mushroom
29033,Neroli
29034,New Leaf
29035,New Zealand
29036,Ocean
29037,Olive Flower
29038,Orange Cream Pop
29039,Orange Rim Cleaner
29040,Orange Juice
29041,Orchid
29042,Oud
29043,Paint
29044,Papaya
29045,Paperback
29046,Parsley
29047,Patchouli
29048,Peach
29049,Passion Fruit
29050,Peony
29051,Persimmon
29052,Pina Colada
29053,Pineapple
29054,PInk Grapefruit
29055,Pink Lemonade
29056,Pipe Tobacco
29057,Play-Doh
29058,Plum Blossom
29059,Poison Ivy
29060,Pomegranate
29061,Popcorn
29062,Prickly Pear
29063,Privet
29064,Prune
29065,Pruning Shears
29066,Pumpkin Pie
29067,Punch
29068,Pure Soap
29069,Quince
29070,Rain
29071,Raspberry Jam
29072,Red Poppies
29073,Redhead In Bed
29074,Riding Crop
29075,Rubber
29076,Russian Leather
29077,Rye Bread
29078,Saddle
29079,Saguaro Cactus
29080,Salt Air
29081,Sambuca
29082,Sandalwood
29083,Sawdust
29084,Scottish Shortbread
29085,Sex On The Beach
29086,Sex On The Beach South Beach
29087,Snow
29088,Sour Apple Lollipop
29089,Spring Break
29090,Stable
29091,Steam Room
29092,Sticky Toffee
29093,Strawberry Ice Cream
29094,Stringbean
29095,Sugar Cookie
29096,Sugar Plum
29097,Sugar Cane
29098,Suntan Lotion
29099,Sushi
29100,Sweet Cilantro
29101,Sweet Orange
29102,Sweet Pea
29103,Swimming Pool
29104,Tangerine
29105,Tarnish
29106,This Is Not A Pipe
29107,Thunderstorm
29108,Tiger Lily
29109,Tomato
29110,Tomato Seeds
29111,Turpentine
29112,Vanilla Cake Batter
29113,Vanilla Ice Cream
29114,Vetiver
29115,Vinyl
29116,Violet
29117,Waffles
29118,Watermelon Lollipop
29119,Wet Garden
29120,Whiskey Tobacco
29121,White Bouquet
29122,White Russian
29123,Wisteria
29124,Ylang Ylang
29125,Golden Skies
29126,Bronze Horizon
29127,meow
29128,call
29129,wild
29130,instinct
29131,lynx
29132,roar
29133,Curacao Copper
29134,Pink
29135,Rose
29136,Nude
29137,Taupe
29138,Brown
29139,Rich Brown
29140,Brown
29141,Almond
29142,Amber
29143,Angel Food
29144,Apple Blossom
29145,Apple Pie
29146,Baby Powder
29147,Bamboo
29148,Banana Flambee
29149,Barbados Cherry
29150,Basil
29151,Beeswax
29152,Beetroot
29153,Between The Sheets
29154,Bird of Paradise
29155,Birthday Cake
29156,Black Bamboo
29157,Black Ginger
29158,Black Pepper
29159,Black Russian
29160,Blueberry
29161,Bourbon
29162,Brownie
29163,Bubble Gum
29164,Bulgarian Rose
29165,Butterscotch
29166,Cannabis Flower
29167,Caramel
29168,Celery
29169,Chai Tea
29170,Camomile Tea
29171,Champagne Brut
29172,Cherry Blossom
29173,Chocolate Chip Cookie
29174,Chocolate Covered Cherries
29175,Chocolate Mint
29176,Christmas Bouquet
29177,Christmas in NY
29178,Chrysanthemum
29179,Cinnamon Bark
29180,Cinnamon Bun
29181,Cinnamon Toast
29182,Clean Skin
29183,Clean Windows
29184,Clover
29185,Coconut
29186,Condensed Milk
29187,Coriander Tea
29188,Cosmopolitan Cocktail
29189,Cotton Candy
29190,Crayon
29191,Cranberry
29192,Creme Br�l�e
29193,Croquembouche
29194,Cucumber
29195,Cypress
29196,Daisy
29197,Dandelion
29198,Daphne
29199,Devil's Food
29200,Dirt
29201,Dragon Fruit
29202,Dregs
29203,Dulce de Leche
29204,Dust
29205,Earl Grey Tea
29206,Earthworm
29207,Egg Nog
29208,Espresso
29209,Fiery Curry
29210,Fig Leaf
29211,Firefly
29212,Fireplace
29213,Fireplace
29214,Flower Show
29215,Frangipani
29216,Fraser Fir
29217,Freesia
29218,Fresh Ginger
29219,Fresh Hay
29220,Frozen Margarita
29221,Frozen Pond
29222,Funeral Home
29223,Fuzzy Navel
29224,Gardenia
29225,Geranium
29226,Giant Sequoia
29227,Gin & Tonic
29228,Ginger Cookie
29229,Gingerale
29230,Gingerbread
29231,Ginseng Root
29232,Glue
29233,Golden Delicious
29234,Graham Cracker
29235,Grape Leaf
29236,Grapefruit Tea
29237,Grass
29238,Green Tea
29239,Green Tomato
29240,Greenhouse
29241,Hawaiian Vanilla
29242,Heather
29243,Heliotrope
29244,Hibiscus Tea
29245,Holy Smoke
29246,Holy Water
29247,Honeydew Melon
29248,Honeydew Melon
29249,Honeysuckle
29250,Hot Toddy
29251,Humidor
29252,Incense
29253,Iris
29254,Ivy
29255,Jasmine
29256,Kamikaze
29257,Laundromat
29258,Lava Rock
29259,Lavender Martini
29260,Lavender
29261,Licorice
29262,Lilac
29263,Lily of the Valley
29264,Lime
29265,Linden
29266,Lobster
29267,Lychee
29268,Macadamia Nut
29269,Madeleine
29270,Magnolia
29271,Mahogany
29272,Malaga Cooler
29273,Mango
29274,Maple Syrup
29275,Marshmallow
29276,Martini
29277,Mesquite
29278,Meyer Lemon
29279,Mildew
29280,Mint Julep
29281,Mistletoe
29282,Mojito
29283,Moonbeam
29284,Mulled Cider
29285,Mushroom
29286,Neroli
29287,New Leaf
29288,New Zealand
29289,Ocean
29290,Olive Flower
29291,Orange Cream Pop
29292,Orange Juice
29293,Orange Rim Cleaner
29294,Orchid
29295,Oud
29296,Paint
29297,Papaya
29298,Paperback
29299,Parsley
29300,Passion Fruit
29301,Patchouli
29302,Peach
29303,Peony
29304,Persimmon
29305,Pina Colada
29306,Pineapple
29307,PInk Grapefruit
29308,PInk Lemonade
29309,Pipe Tobacco
29310,Play-Doh
29311,Plum Blossom
29312,Poison Ivy
29313,Pomegranate
29314,Popcorn
29315,Prickly Pear
29316,Privet
29317,Prune
29318,Pruning Shears
29319,Pumpkin Pie
29320,Punch
29321,Pure Soap
29322,Quince
29323,Rain
29324,Raspberry Jam
29325,Red Poppies
29326,Redhead In Bed
29327,Riding Crop
29328,Rubber
29329,Russian Leather
29330,Rye Bread
29331,Saddle
29332,Saguaro Cactus
29333,Salt Air
29334,Sambuca
29335,Sandalwood
29336,Sawdust
29337,Scottish Shortbread
29338,Sex On The Beach
29339,Sex On the Beach Orange Beach
29340,Snow
29341,Sour Apple Lollipop
29342,Spring Break
29343,Stable
29344,Steam Room
29345,Sticky Toffee
29346,Strawberry Ice Cream
29347,Stringbean
29348,Sugar Cane
29349,Sugar Cookie
29350,Sugar Plum
29351,Sugar Plum
29352,Suntan Lotion
29353,Sushi
29354,Sweet Cilantro
29355,Sweet Orange
29356,Sweet Pea
29357,Swimming Pool
29358,Tangerine
29359,Tarnish
29360,This Is Not A Pipe
29361,Thunderstorm
29362,Tiger Lily
29363,Tomato Seeds
29364,Tomato
29365,Turpentine
29366,Vanilla Cake Batter
29367,Vanilla Ice Cream
29368,Vetiver
29369,Vinyl
29370,Violet
29371,Waffles
29372,Watermelon Lollipop
29373,Wet Garden
29374,Whiskey Tobacco
29375,White Bouquet
29376,White Russian
29377,Wisteria
29378,Ylang Ylang
29379,timeless
29380,Enlightened
29381,Graceful
29382,Pure
29383,Inspired
29384,Playful
29385,Fierce
29386,Bold
29387,Whimsy
29388,Foxy
29389,Dirt
29390,Pure Soap
29391,Dirt
29392,Pure Soap
29393,Dirt
29394,Pure Soap
29395,Pure Soap
29396,Dirt
29397,Pure Soap
29398,Dirt
29399,Escape
29400,Exposed
29401,Buff
29402,Elite
29403,moonlight
29404,sunlight
29405,candlelight
29406,moonlight
29407,sunlight
29408,candlelight
29409,Fair
29410,Light
29411,Medium
29412,Deep
29413,Tan
29414,Black Night
29415,Purple Night
29416,Blue Night
29417,Gold Night
29418,Pink casino N�1
29419,Purple casino N�2
29420,Blue casino N�3
29421,Gold casino N�4
29422,01 Black crackled - 01 Craquel� noir
29423,02 Craquel� argent - 02 Silver Crackled
29424,03 Effet croco noir - 03 Black croco print
29425,04 Effet croco or - 04 Gold coco print
29426,05 D�grad� - 05 Tie dye
29427,06 Gold fever - 06 Gold fever
29428,07 Arty pois - 07 Marble art
29429,08 Effet gel - 08 Gel effect
29430,17 ORANGE POP - 17  POP ORANGE
29431,18 ROSE POP - 18  POP PINK
29432,19 FUCHSIA FLASH - 19  FLASHY FUCHSIA
29433,33 Strawberry Drizzle -33 Strawberry Drizzle
29434,34 Frosted Cupcake-34 Frosted Cupcake
29435,35 Grenadine - 35 Grenadine
29436,36 Raspberry Ice - 36 Raspberry Ice
29437,Spellbound
29438,Ballerina
29440,Taupe
29441,Moss
29442,Shimmering Sand
29443,Satin Golden Brown
29444,Mocha Berry
29445,Cloudy Pale Pink - N/A - N/A
29446,CI 77891
29447,CI 77891
29448,CI 77891
29449,CI 77891
29450,CI 77891
29451,CI 77891
29452,CI 77891
29453,CI 77891
29454,CI 77891
29455,CI 77891
29456,CI 77891
29457,CI 77891
29458,CI 77891
29459,CI 77891
29460,CI 77891
29461,CI 77891
29462,CI 77891
29463,CI 77891
29464,CI 77891
29465,CI 77891
29466,CI 77891
29467,CI 77891
29468,CI 77891
29469,CI 77891
29470,CI 77891
29471,CI 77891
29472,CI 77891
29473,CI 77891
29474,CI 77891
29475,Porcelain
29476,Nude
29477,Beige
29478,Mint
29479,Banana
29480,CI 77891
29481,CI 77891
29482,CI 77891
29483,Honey
29484,CI 77891
29485,CI 77891
29486,CI 77891
29487,Clear
29488,Crystal
29489,Pink Affair
29490,Pink Candy
29491,Diva
29492,Cherry Blossom
29493,CI 77891
29494,CI 77891
29495,CI 77891
29496,CI 77891
29497,CI 77891
29499,Sangria
29500,Porcelain
29501,Vanilla
29502,Sandy Beige
29503,Honey
29504,Caramel
29505,Cappuccino
29506,Black
29507,Brown
29508,Black
29509,Brown
29510,Clear
29511,Champagne
29512,Raisin
29513,Golden Copper
29514,Facet
29515,Sunset
29516,Burnt Copper
29517,Gorgeous
29518,Vanilla Cupcake
29519,French Kiss
29520,Watermelon
29521,Babydoll
29522,Just Red
29523,Fantasy Pink
29524,Flame
29525,Fresh and Clean
29526,Fruity and Bright
29527,Sweet and Tart
29528,Nail Brilliance Top Coat
29529,Green Tea Nail Fortifier
29530,Fuse Nail Bonding Base
29531,Nail Strengthener
29532,Calcium Nail Fortifier
29533,Nail Growth Treatment
29534,Charcoal
29535,Cream
29536,Pearl White
29537,Elegant Gold
29538,Deep Brown
29539,Romance Plum
29540,Nude
29541,Midnight Navy
29542,01 noir - 01 Black
29543,02 gris� paillet� - 02 grey glitter
29544,03 brun mat - 03 matte brown
29545,04 bleu marin - 04 navy blue
29546,05 turquoise paillet� - 05 turquoise glitter
29547,06 violin paillet� - 06 purple glitter
29548,06 violin paillet� - 06 purple glitter
29549,06 violin paillet� - 06 purple glitter
29550,Brunette
29551,Blonde
29552,Black
29553,Black
29554,Brown
29555,Peach Glow
29556,Natural Beige
29557,Rose Pink
29558,All Over Highlighter
29559,Soft Neutral
29560,Rich Bronze
29561,Coral
29562,Nude Beige
29563,Plum
29564,Vivid Pink
29565,Nectar
29566,Clear
29567,Berrylicious
29568,Sassy Pink
29569,Blue Grey
29570,Chocolate
29571,Jet Black
29572,Red Berry
29573,Pretty Pink
29574,Neutral Beige
29575,Light Beige
29576,Medium Beige
29577,Dark Beige
29578,Light Nude
29579,Medium Nude
29580,Dark Bronze
29581,Light
29582,Medium
29583,Deep
29584,Light
29585,Medium
29586,gunmetal
29587,champagne
29588,gold
29589,plum bronze
29590,ash violet
29591,Rainforest Black
29592,Pure Seduction
29593,Amber Romance
29594,Blossoming Romance
29595,Amber Romance
29596,Love Spell
29597,Pure Seduction
29598,Original
29599,Ooh La La
29600,Sweet Magnolia
29601,Vanilla Gold
29602,Hot Berry
29603,Hot Berry
29604,Sweet Magnolia
29605,Vanilla Gold
29606,Berry Smooch
29607,Cherry Bomb
29608,Cupquake
29609,BLUE 1  - BLUE BERRY
29610,VIOLET COLOR - RED NO.7
29614,Fair-to-Light
29615,Medium-to-Tan
29616,Deep
29617,Brow
29618,emerald
29619,tiger eye (also: Golden Tiger Eye)
29620,Gold (also: Aztec Gold)
29621,Plum
29622,Bronze
29623,sunstone bronze
29624,deep amethyst
29625,jade
29626,slate
29627,amazonite blue
29628,violet splendor
29629,plumberry
29630,plum brown
29631,bronze
29632,golden beige
29633,moss green
29634,black
29636,Medium
29637,Light
29638,Tan
29639,Universal Mat
29640,Deep Aqua
29641,Deep Aqua
29642,White Citrus
29643,Sea Island Cotton
29644,Midnight Pomegranate
29645,Moonlight Path
29646,Black Amethyst
29647,Japanese Cherry Blossom
29648,Japanese Cherry Blossom
29649,Twilight Woods
29650,Sweet Pea
29651,Moonlight Path
29652,Orange Sapphire
29653,Olive
29654,Brown
29655,Plum
29656,Purple
29657,Bronze
29658,Navy
29659,Golden Plum
29660,Teal (also Splash)
29661,Rich Green
29662,Black
29663,Black Magic
29664,Bronze
29665,Black Orchid
29666,Jungle Heat
29667,Safari Chic
29668,Exposed
29669,Dare Me
29670,Buzz
29671,Aphrodisiac
29672,Sweet Release
29673,Stardust
29674,Golddust
29675,Silverdust
29676,Lovedust
29677,Skydust
29678,Nightdust
29684,01 Light
29685,02 Medium
29686,03 Deep
29687,r.s.v.p.
29688,bronze have more fun
29689,skinny jeans
29690,birthday suit
29691,no pressure!
29692,Pause for applause
29693,Raincheck?
29694,Nude swings
29695,Gilt-y pleasure
29696,Kiss you
29697,Lollibop
29698,Fauxmance
29699,A-Lister
29700,Hollyhock
29701,Sakura
29702,Mallow
29703,Poppy
29704,Carnation
29705,Porcelain
29706,Cumin
29707,Fair
29708,Cappucino
29709,Marble
29710,Almond
29711,Bisque
29712,Honey Beige
29713,Chestnut
29714,Ebony
29715,Chestnut
29716,Peach
29717,Geranium
29718,Nude
29719,Coral
29720,Plum
29721,Hazelnut
29722,Vanilla
29723,Cumin
29724,Praline
29725,Caramel
29726,Peach
29727,Coral
29728,Lotus Pink
29729,Sheer Pomegranate
29730,Sheer Beech
29731,Sheer Guava
29732,Sheer Toffee
29733,Camomile
29734,Buff
29735,Green
29736,Blue
29748,Hussy
29749,01 STAR DUST
29750,02 Ligt Beam
29751,11 Indian summer
29752,12 Blue lagoon
29753,13 Cosmic flame
29754,EYESHADOW
29755,BLUSH
29756,01 Fair
29757,02 Light
29758,03 Medium
29759,04 Tan
29760,05 Deep
29761,Age defy moisture cream SPF15
29762,MASCARA
29763,DEMAQUILLANT
29764,PENCIL
29765,EYESHADOW
29766,EYESHADOWS
29767,BLUSHS
29768,BRONZING POWDER
29771,EYESHADOWS
29772,LIP GLOSS
29773,BASE FIXANTE
29774,COMPLEXION
29775,EYELINER
29776,Silver Lustre
29777,Glamour Gold Glitter
29778,Radiant Gold Lustre
29779,Frosty Holly Lustre
29780,Gold Lustre
29781,BP01(B)
29782,BP02(A)
29783,BP02(B)
29784,Gold Lustre
29785,Gold Lustre
29786,Lazy Gray
29787,Sophisticate
29788,Just A Mint
29789,Sarong
29790,Thanks A Latte
29791,Bonfire
29792,Hussy
29793,L For Love
29794,Marmalade
29795,Orange
29796,yellow
29797,Green
29798,Purple - Tropical Punch
29799,Yellow - Tropical Punch
