CDPHId,ProductName
101,Colorstay 12 Hour Eye Shadow Quad- bronze 13
102,Colorstay 12 Hour Eye Shadow Quad- copper 14
103,Colorstay 12 Hour Eye Shadow Quad- Lavendar Meadow- lt purple 15
104,Colorstay 12 Hour Eye Shadow Quad- lilac 16
105,Colorstay 12 Hour Eye Shadow Quad- teal 17
106,Colorstay 12 Hour Eye Shadow Quad- dark purple 18
107,Colorstay 12 Hour Eye Shadow Quad- Nude Elements- frosty white/pure pearl 01
108,Colorstay 12 Hour Eye Shadow Quad- Natural 19
109,Colorstay 12 Hour Eye Shadow Quad- tan 20
110,Colorstay 12 Hour Eye Shadow Quad- charcoal 57
111,Colorstay 12 Hour Eye Shadow Quad- Starlight- platinum 01
112,Colorstay 12 Hour Eye Shadow Quad- Highlighter Peach 02
113,Colorstay 12 Hour Eye Shadow Quad- Highlighter pink 03
114,Colorstay 12 Hour Eye Shadow Quad- Highlighter light pink 04
115,Colorstay 12 Hour Eye Shadow Quad- Azure Mist- mystical A 96
116,Colorstay 12 Hour Eye Shadow Quad- mystical B 97
117,Colorstay 12 Hour Eye Shadow Quad- mystical C 98
118,Colorstay 12 Hour Eye Shadow Quad- mystical C 99
119,Colorstay Makeup for Combination/Oily Skin- Ivory
120,Colorstay Makeup for Combination/Oily Skin- Buff
121,Colorstay Makeup for Combination/Oily Skin- Sand Beige
122,Colorstay Makeup for Combination/Oily Skin- Nude
123,Colorstay Makeup for Combination/Oily Skin- Natural Beige
124,Colorstay Makeup for Combination/Oily Skin- Medium Beige
125,Colorstay Makeup for Combination/Oily Skin- Fresh Beige
126,Colorstay Makeup for Combination/Oily Skin- Golden Beige
127,Colorstay Makeup for Combination/Oily Skin- Warm Golden
128,Colorstay Makeup for Combination/Oily Skin- True Beige
129,Colorstay Makeup for Combination/Oily Skin- Natural Tan
130,Colorstay Makeup for Combination/Oily Skin- Early Tan
131,Colorstay Makeup for Combination/Oily Skin- Rich Tan
132,Colorstay Makeup for Combination/Oily Skin- Golden Caramel
133,Colorstay Makeup for Combination/Oily Skin- Toast
134,Colorstay Makeup for Combination/Oily Skin- Rich Ginger
135,Colorstay Makeup for Combination/Oily Skin- Caramel
136,Colorstay Makeup for Combination/Oily Skin- Cappuccino
137,Colorstay Makeup for Combination/Oily Skin- Mahogany
138,Colorstay Makeup for Combination/Oily Skin- Mocha
139,Eye Hope
140,Shelter Tinted
141,Shelter Untinted
142,On A Clear Day Retinol Clarifying Lotion
143,The Microdelivery Peel Crystals
152,Kiss Me Tonight
153,Hope In A Jar for Dry/Sensitive Skin Types
154,Hope In A Jar For All Skin Types
155,Booster Caps
156,A&C synergy serum
157,When Hope Is Not Enough Replenishing Cream
158,"When Hope Is Not Enough 3, 6, 9 Body Lotion"
159,The Supernatural Poreless Flawless Tinted SPF 15
160,Colorstay Makeup for Normal/Dry Skin- Ivory
161,Colorstay Makeup for Normal/Dry Skin- Buff
162,Colorstay Makeup for Normal/Dry Skin- Sand Beige
163,Colorstay Makeup for Normal/Dry Skin- Nude
164,Colorstay Makeup for Normal/Dry Skin- Natural Beige
165,Colorstay Makeup for Normal/Dry Skin- Medium Beige
166,Colorstay Makeup for Normal/Dry Skin- Fresh Beige
167,Colorstay Makeup for Normal/Dry Skin- True Beige
168,Colorstay Makeup for Normal/Dry Skin- Natural Tan
169,Colorstay Makeup for Normal/Dry Skin- Toast
170,Colorstay Makeup for Normal/Dry Skin- Caramel
171,Colorstay Makeup for Normal/Dry Skin- Cappuccino
172,Colorstay Active Light Makeup- Ivory
173,Colorstay Active Light Makeup- Buff
174,Colorstay Active Light Makeup- Sand Beige
175,Colorstay Active Light Makeup- Nude
176,Colorstay Active Light Makeup- Natural Beige
177,Colorstay Active Light Makeup- Medium Beige
178,Colorstay Active Light Makeup- Golden Beige
179,Colorstay Active Light Makeup- True Beige
180,Colorstay Active Light Makeup- Natural Tan
181,Colorstay Active Light Makeup- Toast
182,Booster Serum
183,Colorstay Mineral Foundation- Fair
184,Colorstay Mineral Foundation- Fair/Light
185,Colorstay Mineral Foundation- Light
186,Colorstay Mineral Foundation- Light Medium
187,Colorstay Mineral Foundation- Light Medium/Medium
188,Colorstay Mineral Foundation- Medium
189,Colorstay Mineral Foundation- Medium Deep
190,Colorstay Mineral Foundation- Deep
191,Colorstay Mineral Mousse Makeup- Fair
192,Colorstay Mineral Mousse Makeup- Fair Light
193,Colorstay Mineral Mousse Makeup- Light
194,Colorstay Mineral Mousse Makeup- Light Medium
195,Colorstay Mineral Mousse Makeup- Light Medium/Medium
